Level-0-pin_id,Level-1-plane_id,power_density,volume,x_coord,y_coord
0,0,0,0.00023363739942042,-1.6358058145014e-05,-9.4443292734432e-06
0,1,1102.040371263,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,2,1142.1908219032,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,3,1235.4482232711,9.1927883954759e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,4,1339.3730160004,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,5,1438.5664758113,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,6,1526.3902747947,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,7,1599.6179388794,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,8,1656.4315144319,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,9,1695.732893675,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,10,1716.8663805377,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,11,1719.5123090495,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,12,1703.6476674722,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,13,1669.5488726509,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,14,1617.8380111976,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,15,1549.6004670075,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,16,1466.6854927925,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,17,1372.4453870198,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,18,1273.8643391012,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,19,1187.2213943077,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,20,1157.0030489543,9.192788395476e-06,-6.4363054656933e-07,-3.7160026932047e-07
0,21,0,0.00019510516862351,-1.3660234622767e-05,-7.8867401366479e-06
1,0,0,0.00023104939838516,-1.6237843226286e-05,-6.2035012111977e-06
1,1,1100.7895097549,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,2,1141.3987284238,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,3,1234.8712381346,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,4,1338.8598290175,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,5,1438.0762995871,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,6,1525.8973682197,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,7,1599.1121216546,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,8,1655.9138112613,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,9,1695.2055396039,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,10,1716.3335120717,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,11,1718.9785627632,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,12,1703.1176621258,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,13,1669.0266733595,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,14,1617.3256317804,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,15,1549.098602152,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,16,1466.1828724547,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,17,1371.9137400644,9.0909598956579e-06,-6.389005234113e-07,-2.4408538225081e-07
1,18,1273.2599653613,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,19,1186.3847700621,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,20,1155.7112989588,9.0909598956578e-06,-6.389005234113e-07,-2.4408538225081e-07
1,21,0,0.00019294398903654,-1.3559845934793e-05,-5.1803998540872e-06
2,0,0,0.00023104939838517,-1.6237843226286e-05,-3.1017506055988e-06
2,1,1100.4537394095,9.0909598956578e-06,-6.389005234113e-07,-1.2204269112541e-07
2,2,1141.4486762735,9.0909598956578e-06,-6.389005234113e-07,-1.2204269112541e-07
2,3,1235.0938485032,9.0909598956578e-06,-6.389005234113e-07,-1.2204269112541e-07
2,4,1339.1592634021,9.0909598956578e-06,-6.389005234113e-07,-1.2204269112541e-07
2,5,1438.4288956156,9.0909598956578e-06,-6.389005234113e-07,-1.2204269112541e-07
2,6,1526.2828548999,9.0909598956578e-06,-6.389005234113e-07,-1.2204269112541e-07
2,7,1599.521825939,9.0909598956578e-06,-6.389005234113e-07,-1.2204269112541e-07
2,8,1656.3409476322,9.0909598956578e-06,-6.389005234113e-07,-1.2204269112541e-07
