power_density,volume,x,x0,x1,x2,x_coord,y,y_coord,z_layer
1045.9293980925,2.4273419854405e-06,-0.069756376933068,-6,-6,0,-1.6932258248185e-07,-0.040273863,-9.775843857578e-08,0
1044.8653780556,2.4273419854405e-06,-0.069756376933068,-6,-5,1,-1.6932258248185e-07,-0.026849242,-6.5172292383854e-08,0
1044.5941937241,2.4273419854405e-06,-0.069756376933068,-6,-4,2,-1.6932258248185e-07,-0.013424621,-3.2586146191927e-08,0
1044.5894618736,2.4273419854405e-06,-0.069756376933068,-6,-3,3,-1.6932258248185e-07,0,-5.8807371673692e-24,0
1044.5957095074,2.4273419854405e-06,-0.069756376933068,-6,-2,4,-1.6932258248185e-07,0.013424621,3.2586146191927e-08,0
1044.8815564799,2.4273419854405e-06,-0.069756376933068,-6,-1,5,-1.6932258248185e-07,0.026849242,6.5172292383854e-08,0
1045.9834640297,2.4273419854405e-06,-0.069756376933068,-6,0,6,-1.6932258248185e-07,0.040273863,9.775843857578e-08,0
1044.8463132357,2.4273419854405e-06,-0.05813031411089,-5,-6,-1,-1.4110215206821e-07,-0.0469861735,-1.1405151167174e-07,0
1040.1557936409,2.4273419854405e-06,-0.05813031411089,-5,-5,0,-1.4110215206821e-07,-0.0335615525,-8.1465365479817e-08,0
1038.9881970422,2.4273419854405e-06,-0.05813031411089,-5,-4,1,-1.4110215206821e-07,-0.0201369315,-4.887921928789e-08,0
1038.6006684003,2.4273419854405e-06,-0.05813031411089,-5,-3,2,-1.4110215206821e-07,-0.0067123105,-1.6293073095963e-08,0
1038.6033914832,2.4273419854405e-06,-0.05813031411089,-5,-2,3,-1.4110215206821e-07,0.0067123105,1.6293073095963e-08,0
1039.0003637943,2.4273419854405e-06,-0.05813031411089,-5,-1,4,-1.4110215206821e-07,0.0201369315,4.887921928789e-08,0
1040.185176874,2.4273419854405e-06,-0.05813031411089,-5,0,5,-1.4110215206821e-07,0.0335615525,8.1465365479817e-08,0
1044.926671005,2.4273419854405e-06,-0.05813031411089,-5,1,6,-1.4110215206821e-07,0.0469861735,1.1405151167174e-07,0
1044.5510929364,2.4273419854405e-06,-0.046504251288712,-4,-6,-2,-1.1288172165457e-07,-0.053698484,-1.3034458476771e-07,0
1038.9883262889,2.4273419854405e-06,-0.046504251288712,-4,-5,-1,-1.1288172165457e-07,-0.040273863,-9.775843857578e-08,0
1036.3590094954,2.4273419854405e-06,-0.046504251288712,-4,-4,0,-1.1288172165457e-07,-0.026849242,-6.5172292383854e-08,0
1035.6350874448,2.4273419854405e-06,-0.046504251288712,-4,-3,1,-1.1288172165457e-07,-0.013424621,-3.2586146191927e-08,0
1035.1804218316,2.4273419854405e-06,-0.046504251288712,-4,-2,2,-1.1288172165457e-07,0,-9.7710709857826e-24,0
1035.6413211089,2.4273419854405e-06,-0.046504251288712,-4,-1,3,-1.1288172165457e-07,0.013424621,3.2586146191927e-08,0
1036.3752757181,2.4273419854405e-06,-0.046504251288712,-4,0,4,-1.1288172165457e-07,0.026849242,6.5172292383854e-08,0
1039.0230651711,2.4273419854405e-06,-0.046504251288712,-4,1,5,-1.1288172165457e-07,0.040273863,9.775843857578e-08,0
1044.6602334465,2.4273419854405e-06,-0.046504251288712,-4,2,6,-1.1288172165457e-07,0.053698484,1.3034458476771e-07,0
1044.5399081809,2.4273419854405e-06,-0.034878188466534,-3,-6,-3,-8.4661291240926e-08,-0.0604107945,-1.4663765786367e-07,0
1038.5904432835,2.4273419854405e-06,-0.034878188466534,-3,-5,-2,-8.4661291240926e-08,-0.0469861735,-1.1405151167174e-07,0
1035.6352566872,2.4273419854405e-06,-0.034878188466534,-3,-4,-1,-8.4661291240927e-08,-0.0335615525,-8.1465365479817e-08,0
1034.0203053338,2.4273419854405e-06,-0.034878188466534,-3,-3,0,-8.4661291240926e-08,-0.0201369315,-4.887921928789e-08,0
1033.7894563784,2.4273419854405e-06,-0.034878188466534,-3,-2,1,-8.4661291240926e-08,-0.0067123105,-1.6293073095963e-08,0
1033.7907280747,2.4273419854405e-06,-0.034878188466534,-3,-1,2,-8.4661291240926e-08,0.0067123105,1.6293073095963e-08,0
1034.0314554529,2.4273419854405e-06,-0.034878188466534,-3,0,3,-8.4661291240926e-08,0.0201369315,4.887921928789e-08,0
1035.6565525055,2.4273419854405e-06,-0.034878188466534,-3,1,4,-8.4661291240927e-08,0.0335615525,8.1465365479817e-08,0
1038.6424671682,2.4273419854405e-06,-0.034878188466534,-3,2,5,-8.4661291240926e-08,0.0469861735,1.1405151167174e-07,0
1044.6686841624,2.4273419854405e-06,-0.034878188466534,-3,3,6,-8.4661291240926e-08,0.0604107945,1.4663765786367e-07,0
