FRD,id,x,y,z
7.6903614249289e+17,0,0.995,0,0
1.0487528775243e+18,0.01,0.995,0.01,0
1.327641727748e+18,0.02,0.995,0.02,0
1.6057028390974e+18,0.03,0.995,0.03,0
1.8829276229711e+18,0.04,0.995,0.04,0
2.1593001456193e+18,0.05,0.995,0.05,0
2.4347983097735e+18,0.06,0.995,0.06,0
2.7093948549757e+18,0.07,0.995,0.07,0
2.9830582009145e+18,0.08,0.995,0.08,0
3.2557531558565e+18,0.09,0.995,0.09,0
3.5274415099982e+18,0.1,0.995,0.1,0
3.798082531212e+18,0.11,0.995,0.11,0
4.0676333785513e+18,0.12,0.995,0.12,0
4.3360494468662e+18,0.13,0.995,0.13,0
4.6032846540256e+18,0.14,0.995,0.14,0
4.8692916805818e+18,0.15,0.995,0.15,0
5.1340221702817e+18,0.16,0.995,0.16,0
5.3974268983469e+18,0.17,0.995,0.17,0
5.6594559135957e+18,0.18,0.995,0.18,0
5.9200586591654e+18,0.19,0.995,0.19,0
6.1791840760492e+18,0.2,0.995,0.2,0
6.4367806926346e+18,0.21,0.995,0.21,0
6.6927967030736e+18,0.22,0.995,0.22,0
6.9471800366821e+18,0.23,0.995,0.23,0
7.1998784200507e+18,0.24,0.995,0.24,0
7.4508394334191e+18,0.25,0.995,0.25,0
7.7000105623145e+18,0.26,0.995,0.26,0
7.9473392454026e+18,0.27,0.995,0.27,0
8.1927729192473e+18,0.28,0.995,0.28,0
8.4362590604193e+18,0.29,0.995,0.29,0
8.6777452254728e+18,0.3,0.995,0.3,0
8.9171790890187e+18,0.31,0.995,0.31,0
9.1545084801586e+18,0.32,0.995,0.32,0
9.3896814174439e+18,0.33,0.995,0.33,0
9.622646142439e+18,0.34,0.995,0.34,0
9.8533511521101e+18,0.35,0.995,0.35,0
1.0081745229889e+19,0.36,0.995,0.36,0
1.0307777475715e+19,0.37,0.995,0.37,0
1.053139733492e+19,0.38,0.995,0.38,0
1.0752554626079e+19,0.39,0.995,0.39,0
1.0971199567709e+19,0.4,0.995,0.4,0
1.118728280411e+19,0.41,0.995,0.41,0
1.1400755430033e+19,0.42,0.995,0.42,0
1.1611569014549e+19,0.43,0.995,0.43,0
1.1819675623823e+19,0.44,0.995,0.44,0
1.202502784311e+19,0.45,0.995,0.45,0
1.222757879765e+19,0.46,0.995,0.46,0
1.2427282172956e+19,0.47,0.995,0.47,0
1.262409223408e+19,0.48,0.995,0.48,0
1.2817963844108e+19,0.49,0.995,0.49,0
1.3008852481961e+19,0.5,0.995,0.5,0
1.3196714259398e+19,0.51,0.995,0.51,0
1.3381505937262e+19,0.52,0.995,0.52,0
1.3563184941138e+19,0.53,0.995,0.53,0
1.3741709376306e+19,0.54,0.995,0.54,0
1.3917038042105e+19,0.55,0.995,0.55,0
1.4089130445741e+19,0.56,0.995,0.56,0
1.4257946815402e+19,0.57,0.995,0.57,0
1.4423448113038e+19,0.58,0.995,0.58,0
1.4585596046441e+19,0.59,0.995,0.59,0
1.4744353080998e+19,0.6,0.995,0.6,0
1.4899682450888e+19,0.61,0.995,0.61,0
1.5051548169908e+19,0.62,0.995,0.62,0
1.5199915041831e+19,0.63,0.995,0.63,0
1.5344748670354e+19,0.64,0.995,0.64,0
1.5486015468772e+19,0.65,0.995,0.65,0
1.5623682669122e+19,0.66,0.995,0.66,0
1.5757718331091e+19,0.67,0.995,0.67,0
1.5888091350621e+19,0.68,0.995,0.68,0
1.6014771468128e+19,0.69,0.995,0.69,0
1.613772927635e+19,0.7,0.995,0.7,0
1.625693622799e+19,0.71,0.995,0.71,0
1.6372364643085e+19,0.72,0.995,0.72,0
1.6483987715967e+19,0.73,0.995,0.73,0
1.6591779522036e+19,0.74,0.995,0.74,0
1.6695715024316e+19,0.75,0.995,0.75,0
1.6795770079596e+19,0.76,0.995,0.76,0
1.6891921444425e+19,0.77,0.995,0.77,0
1.6984146780798e+19,0.78,0.995,0.78,0
1.7072424661693e+19,0.79,0.995,0.79,0
1.7156734576185e+19,0.8,0.995,0.8,0
1.723705693445e+19,0.81,0.995,0.81,0
1.7313373072536e+19,0.82,0.995,0.82,0
1.7385665256728e+19,0.83,0.995,0.83,0
1.7453916688011e+19,0.84,0.995,0.84,0
