FRD,id,x,y,z
7.6903614351042e+17,0,0,1.005,0
1.04875287891e+18,0.01,0.01,1.005,0
1.3276417294965e+18,0.02,0.02,1.005,0
1.6057028412045e+18,0.03,0.03,1.005,0
1.8829276254321e+18,0.04,0.04,1.005,0
2.1593001484291e+18,0.05,0.05,1.005,0
2.434798312933e+18,0.06,0.06,1.005,0
2.7093948584852e+18,0.07,0.07,1.005,0
2.9830582047668e+18,0.08,0.08,1.005,0
3.2557531600462e+18,0.09,0.09,1.005,0
3.5274415145214e+18,0.1,0.1,1.005,0
3.7980825360626e+18,0.11,0.11,1.005,0
4.0676333837181e+18,0.12,0.12,1.005,0
4.3360494523444e+18,0.13,0.13,1.005,0
4.603284659804e+18,0.14,0.14,1.005,0
4.8692916866717e+18,0.15,0.15,1.005,0
5.1340221766769e+18,0.16,0.16,1.005,0
5.3974269050333e+18,0.17,0.17,1.005,0
5.6594559205621e+18,0.18,0.18,1.005,0
5.9200586664071e+18,0.19,0.19,1.005,0
6.1791840835511e+18,0.2,0.2,1.005,0
6.4367807003876e+18,0.21,0.21,1.005,0
6.6927967110581e+18,0.22,0.22,1.005,0
6.9471800448866e+18,0.23,0.23,1.005,0
7.1998784284717e+18,0.24,0.24,1.005,0
7.4508394420521e+18,0.25,0.25,1.005,0
7.7000105711541e+18,0.26,0.26,1.005,0
7.9473392544435e+18,0.27,0.27,1.005,0
8.1927729284558e+18,0.28,0.28,1.005,0
8.4362590697924e+18,0.29,0.29,1.005,0
8.6777452350135e+18,0.3,0.3,1.005,0
8.9171790987196e+18,0.31,0.31,1.005,0
9.154508490034e+18,0.32,0.32,1.005,0
9.3896814274736e+18,0.33,0.33,1.005,0
9.6226461526317e+18,0.34,0.34,1.005,0
9.8533511624539e+18,0.35,0.35,1.005,0
1.0081745240377e+19,0.36,0.36,1.005,0
1.030777748635e+19,0.37,0.37,1.005,0
1.0531397345714e+19,0.38,0.38,1.005,0
1.0752554637007e+19,0.39,0.39,1.005,0
1.097119957877e+19,0.4,0.4,1.005,0
1.1187282815286e+19,0.41,0.41,1.005,0
1.1400755441331e+19,0.42,0.42,1.005,0
1.1611569025951e+19,0.43,0.43,1.005,0
1.1819675635336e+19,0.44,0.44,1.005,0
1.2025027854698e+19,0.45,0.45,1.005,0
1.222757880931e+19,0.46,0.46,1.005,0
1.2427282184687e+19,0.47,0.47,1.005,0
1.2624092245847e+19,0.48,0.48,1.005,0
1.2817963855887e+19,0.49,0.49,1.005,0
1.3008852493748e+19,0.5,0.5,1.005,0
1.3196714271166e+19,0.51,0.51,1.005,0
1.3381505948981e+19,0.52,0.52,1.005,0
1.3563184952777e+19,0.53,0.53,1.005,0
1.3741709387856e+19,0.54,0.54,1.005,0
1.3917038053578e+19,0.55,0.55,1.005,0
1.4089130457105e+19,0.56,0.56,1.005,0
1.4257946826681e+19,0.57,0.57,1.005,0
1.4423448124206e+19,0.58,0.58,1.005,0
1.4585596057503e+19,0.59,0.59,1.005,0
1.4744353091962e+19,0.6,0.6,1.005,0
1.4899682461761e+19,0.61,0.61,1.005,0
1.5051548180694e+19,0.62,0.62,1.005,0
1.5199915052514e+19,0.63,0.63,1.005,0
1.5344748680934e+19,0.64,0.64,1.005,0
1.5486015479214e+19,0.65,0.65,1.005,0
1.5623682679428e+19,0.66,0.66,1.005,0
1.5757718341242e+19,0.67,0.67,1.005,0
1.5888091360639e+19,0.68,0.68,1.005,0
1.6014771477985e+19,0.69,0.69,1.005,0
1.613772928603e+19,0.7,0.7,1.005,0
1.6256936237488e+19,0.71,0.71,1.005,0
1.6372364652365e+19,0.72,0.72,1.005,0
1.6483987724999e+19,0.73,0.73,1.005,0
1.6591779530816e+19,0.74,0.74,1.005,0
1.66957150328e+19,0.75,0.75,1.005,0
