time,eigenvalue,fuel_temp_avg,fuel_temp_max,fuel_temp_min,integrated_power,power_scaling,scaled_power_avg
0,0,800,800,800,345600,2.3787648753134e+32,2182696.3624031
1,1.0498733458359,845.0010879013,870.34042019781,817.89922139076,345600,1.2174471534779e+15,2181178.2800341
