time,A_avg_T_aux,A_int_T_ext,A_int_total_flux,DT_inner,DT_outer,Integral_BC_Cond,Integral_BC_RelErr,Integral_BC_Total,T_cond_inner,T_cond_outer,T_evap_inner,T_evap_outer,T_inner_avg,T_inner_max,T_inner_min,T_wall_var_avg,ZeroPP,condenser_boundary_integral,evaporator_boundary_integral,hp_boiling_limit,hp_capillary_limit,hp_entrainment_limit,hp_sonic_limit,hp_viscous_limit
-25000,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
-22500,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
-20000,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
-17500,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
-15000,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
-12500,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
-10000,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
-7500,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
-5000,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
-2500,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
0,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
