time,ext_side_integral,flux_uo_avg,fuel_temp_avg,fuel_temp_max,fuel_temp_min,heatpipe_surface_temp_avg,hp_end_heat_integral,hp_heat_integral,mirror_side_integral,mod_temp_avg,mod_temp_max,mod_temp_min,monolith_temp_avg,monolith_temp_max,monolith_temp_min,power,tb_integral,total_sink
-50000,1.7210113813668e-13,0,0,0,0,0,5.4308340658248e-13,-1.8323287911326e-08,-1.1226779245202e-10,0,0,0,0,0,0,345600,-2.4890503676741e-11,-1.845973102291e-08
-47500,57.458789281016,13960.708531412,828.2889987817,847.63778805404,806.86009245349,820.20436679707,-273.12501001407,339059.74058185,15778.464248893,826.41947102525,842.41521576329,807.20686415415,824.58288371986,845.56869016972,803.85324364092,345600,-794.00550085194,353828.53310915
-45000,102.51082207306,13715.907945422,844.93480158271,871.2850059166,815.01651647757,835.63576580064,-504.32328296842,336512.33380053,27032.569739848,843.35728530396,866.01767483509,815.71412253117,840.89759552258,869.14933914043,811.67897534964,345600,-659.22211625998,362483.86896322
-42500,102.46355084533,13725.06872638,844.83721239057,870.62796006366,815.23363344296,835.61496978203,-504.27905165633,336540.30613352,26535.490102517,843.17781835024,865.3672078786,815.97779453998,840.88062800893,868.48479348857,812.20105506768,345600,-672.40040840448,362001.58032682
-40000,102.22724179408,13723.156840062,844.84232661275,870.68456310522,815.18271736216,835.595618259,-503.78778037951,336544.10869315,26641.886782333,843.20724135417,865.42242843631,815.90988284089,840.86053671278,868.55631404767,812.046839086,345600,-673.13776112192,362111.29717577
-37500,102.31181275578,13723.940914364,844.83345912205,870.69942711803,815.20150328467,835.59571872374,-503.85392746591,336543.34693451,26614.128392523,843.19033554041,865.43770023173,815.92364227545,840.86047987049,868.56244545627,812.09909633641,345600,-672.50421248268,362083.42899984
-35000,102.27639579953,13723.626879423,844.83689959006,870.68020115445,815.19369359375,835.5957039377,-503.83011098551,336543.6964899,26620.840492271,843.19676657908,865.4183121836,815.92004808279,840.86052163124,868.54734751758,812.07876394543,345600,-672.80463545228,362090.17863153
-32500,102.2920212942,13723.760410258,844.83547591074,870.69190316241,815.19709742675,835.59572073242,-503.8398570801,336543.52842256,26619.119959493,843.19410519129,865.43009504324,815.92091920914,840.86052232874,868.5572854991,812.08723164457,345600,-672.66109411626,362088.43945215
-30000,102.28479036569,13723.700733591,844.83610811632,870.6859312374,815.19554493507,835.59571662534,-503.8357302453,336543.61054499,26619.615927737,843.1952923106,865.42407829907,815.92079426337,840.8605212268,868.55200505085,812.08357962907,345600,-672.73207236665,362088.94346048
-27500,102.28825603618,13723.72845465,844.83581500536,870.68876124246,815.19627699912,835.59571589257,-503.83753858631,336543.56944968,26619.442772775,843.19473668017,865.4269339739,815.92074347426,840.86052103443,868.55459458049,812.08519817687,345600,-672.69618094498,362088.76675896
-25000,102.28655664387,13723.715172775,844.83595256747,870.68747169893,815.19592494973,835.59571562106,-503.83669259574,336543.59040502,26619.517794586,843.19500270127,865.42562952002,815.92081164393,840.86051962334,868.55336937682,812.08446139825,345600,-672.71447907246,362088.84358458
-22500,102.28740149403,13723.721714961,844.83588738251,870.68804378826,815.1960961728,835.59571657813,-503.83710579523,336543.57961926,26619.479553327,843.19487335078,865.42621035672,815.9207601745,840.86052148395,868.55393847894,812.08480451273,345600,-672.70512793161,362088.80434036
-20000,102.28740149403,13723.721714961,844.83588738251,870.68804378826,815.1960961728,835.59571657813,-503.83710579523,336543.57961926,26619.479553327,843.19487335078,865.42621035672,815.9207601745,840.86052148395,868.55393847894,812.08480451273,345600,-672.70512793161,362088.80434036
-17500,102.28740149403,13723.721714961,844.83588738251,870.68804378826,815.1960961728,835.59571657813,-503.83710579523,336543.57961926,26619.479553327,843.19487335078,865.42621035672,815.9207601745,840.86052148395,868.55393847894,812.08480451273,345600,-672.70512793161,362088.80434036
-15000,102.28740149403,13723.721714961,844.83588738251,870.68804378826,815.1960961728,835.59571657813,-503.83710579523,336543.57961926,26619.479553327,843.19487335078,865.42621035672,815.9207601745,840.86052148395,868.55393847894,812.08480451273,345600,-672.70512793161,362088.80434036
-12500,102.28740149403,13723.721714961,844.83588738251,870.68804378826,815.1960961728,835.59571657813,-503.83710579523,336543.57961926,26619.479553327,843.19487335078,865.42621035672,815.9207601745,840.86052148395,868.55393847894,812.08480451273,345600,-672.70512793161,362088.80434036
-10000,102.28740149403,13723.721714961,844.83588738251,870.68804378826,815.1960961728,835.59571657813,-503.83710579523,336543.57961926,26619.479553327,843.19487335078,865.42621035672,815.9207601745,840.86052148395,868.55393847894,812.08480451273,345600,-672.70512793161,362088.80434036
-7500,102.28740149403,13723.721714961,844.83588738251,870.68804378826,815.1960961728,835.59571657813,-503.83710579523,336543.57961926,26619.479553327,843.19487335078,865.42621035672,815.9207601745,840.86052148395,868.55393847894,812.08480451273,345600,-672.70512793161,362088.80434036
-5000,102.28740149403,13723.721714961,844.83588738251,870.68804378826,815.1960961728,835.59571657813,-503.83710579523,336543.57961926,26619.479553327,843.19487335078,865.42621035672,815.9207601745,840.86052148395,868.55393847894,812.08480451273,345600,-672.70512793161,362088.80434036
-2500,102.28740149403,13723.721714961,844.83588738251,870.68804378826,815.1960961728,835.59571657813,-503.83710579523,336543.57961926,26619.479553327,843.19487335078,865.42621035672,815.9207601745,840.86052148395,868.55393847894,812.08480451273,345600,-672.70512793161,362088.80434036
0,102.28740149403,13723.721714961,844.83588738251,870.68804378826,815.1960961728,835.59571657813,-503.83710579523,336543.57961926,26619.479553327,843.19487335078,865.42621035672,815.9207601745,840.86052148395,868.55393847894,812.08480451273,345600,-672.70512793161,362088.80434036
