time,ext_side_integral,flux_uo_avg,fuel_temp_avg,fuel_temp_max,fuel_temp_min,heatpipe_surface_temp_avg,hp_end_heat_integral,hp_heat_integral,mirror_side_integral,mod_temp_avg,mod_temp_max,mod_temp_min,monolith_temp_avg,monolith_temp_max,monolith_temp_min,power,tb_integral,total_sink
-50000,1.7210113813668e-13,0,0,0,0,0,5.4308340658248e-13,-1.8323287911326e-08,-1.1248102223862e-10,0,0,0,0,0,0,345600,-2.4907734648065e-11,-1.8459961483668e-08
-49900,57.98122086397,14008.548657577,828.28512947091,847.18242051802,806.81061345353,820.20153196635,-279.72514787268,338937.45145387,8734.91268424,826.41489227087,842.01469183479,807.15720970762,824.581267254,845.13372207343,803.82719352032,345600,-821.12499665237,346629.49521445
-49700,101.25178497734,13776.075194803,844.14012036027,869.62458704809,814.58027334634,834.89411183951,-500.06005076869,336515.62478768,10008.258249932,842.54743800577,864.40720789868,815.25354141706,840.12135498463,867.51155840844,811.26852847438,345600,-693.65635379883,345431.41841802
-49300,104.18769440662,13767.069886225,845.14459848884,870.54922490005,815.47966648252,835.89685565075,-515.50148125186,336361.0131842,10063.75195153,843.49510609929,865.33032886278,816.09460446911,841.17895620502,868.41594211122,812.3160263526,345600,-691.74507020178,345321.70627868
-48500,103.18702538935,13770.699716572,844.85583584831,870.14126745011,815.27811297592,835.61194916829,-511.04163557668,336413.83529,10073.004025789,843.21591420375,864.92359729802,815.90217545486,840.88033314425,868.02230864579,812.06855394002,345600,-697.36384779871,345381.62085781
-46900,103.2026138171,13771.228604133,844.83647949872,870.1573531701,815.2758907296,835.59720739052,-510.8464009793,336415.29517069,10059.916972721,843.19356629887,864.93956498806,815.89291205402,840.86464469204,868.03204491235,812.07958460016,345600,-696.74602613634,345370.82233011
-44400,103.18879897456,13771.05202943,844.83964365223,870.1420997705,815.27328042556,835.59871640812,-510.85985536037,336415.22206072,10065.97146371,843.19802496203,864.92431739729,815.89328447657,840.86625027305,868.01925785063,812.07132326885,345600,-696.89938065061,345376.6230874
-41900,103.19716196394,13771.120576675,844.83896847164,870.15009570263,815.27496419269,835.59875824054,-510.86498877414,336415.12328771,10062.852994257,843.19673960725,864.93232721101,815.89341380862,840.86628974475,868.02630143727,812.07530706098,345600,-696.81850044165,345373.48995471
-39400,103.19312255108,13771.088314095,844.83930473789,870.14648552576,815.27426953558,835.59875675635,-510.86288040398,336415.17165407,10064.451707423,843.19737362154,864.92870198554,815.89347449695,840.86628783315,868.02303398653,812.07358600783,345600,-696.86036558828,345375.09323805
-36900,103.19511860141,13771.103824574,844.83914376332,870.14809614628,815.27456634273,835.59875678685,-510.86385755029,336415.1469544,10063.642800364,843.19706468316,864.93032349605,815.8933973248,840.86628914522,868.02454075488,812.07435304527,345600,-696.83883095057,345374.28218486
-34400,103.19412142816,13771.096200814,844.8392202727,870.14738728497,815.27443622839,835.59875569573,-510.86337603127,336415.15979523,10064.050468254,843.19721559833,864.92960733369,815.89345521713,840.86628697283,868.02384930353,812.07400203664,345600,-696.84989004359,345374.69111883
-31900,103.19462225563,13771.100050464,844.83918297898,870.14769331177,815.27449416246,835.59875625784,-510.86360917118,336415.15320051,10063.844742736,843.19714050663,864.92991806221,815.89341726564,840.86628819583,868.02416442069,812.07416641794,345600,-696.84420715598,345374.48474918
-29400,103.19436901929,13771.098061235,844.83920134856,870.1475642343,815.27446780578,835.59875596883,-510.86349480451,336415.15659179,10063.948875676,843.19717824101,864.9297860281,815.89344042369,840.86628754847,868.02402152944,812.07408746824,345600,-696.84712994545,345374.58921173
-26900,103.19449823241,13771.099109774,844.83919223092,870.14761685686,815.27448007476,835.59875613733,-510.86355191627,336415.15483591,10063.895956058,843.19715912577,864.9298404813,815.89342684703,840.86628789713,868.02408592981,812.07412634289,345600,-696.84561891413,345374.53611937
-24400,103.19443168244,13771.098547831,844.83919678588,870.14759653871,815.27447422878,835.59875602719,-510.86352282847,336415.15575344,10063.922966831,843.19716887961,864.92981904201,815.89343461766,840.86628770195,868.02405714296,812.07410674372,345600,-696.84640585839,345374.56322327
