time,eigenvalue,fuel_temp_avg,fuel_temp_max,fuel_temp_min,integrated_power,power_scaling,scaled_power_avg
0,0,800,800,800,345600,2.38E+32,2182696.362
1,1.048455456,845.3535226,869.8185757,818.2478599,345600,1.22E+15,2181175.465
