disp_y,id,x,y,z
0,0,0.0669059,0,0
-5.8225731668788e-08,0.04,0.0669059,0,0.04
-2.4585420951535e-07,0.08,0.0669059,0,0.08
-5.4733369370417e-07,0.12,0.0669059,0,0.12
-9.6302116113287e-07,0.16,0.0669059,0,0.16
-1.491692994166e-06,0.2,0.0669059,0,0.2
-2.1338994561159e-06,0.24,0.0669059,0,0.24
-2.8858651626649e-06,0.28,0.0669059,0,0.28
-3.746039627464e-06,0.32,0.0669059,0,0.32
-4.7128724184344e-06,0.36,0.0669059,0,0.36
-5.7848120902879e-06,0.4,0.0669059,0,0.4
-6.9623091181512e-06,0.44,0.0669059,0,0.44
-8.2417533185857e-06,0.48,0.0669059,0,0.48
-9.6215937035094e-06,0.52,0.0669059,0,0.52
-1.110027933617e-05,0.56,0.0669059,0,0.56
-1.267625886429e-05,0.6,0.0669059,0,0.6
-1.4349828991163e-05,0.64,0.0669059,0,0.64
-1.6117533709119e-05,0.68,0.0669059,0,0.68
-1.7977821134219e-05,0.72,0.0669059,0,0.72
-1.9929140464476e-05,0.76,0.0669059,0,0.76
-2.1969940896418e-05,0.8,0.0669059,0,0.8
-2.4100365537923e-05,0.84,0.0669059,0,0.84
-2.6317111459209e-05,0.88,0.0669059,0,0.88
-2.8618627162455e-05,0.92,0.0669059,0,0.92
-3.1003361662475e-05,0.96,0.0669059,0,0.96
-3.3469763907624e-05,1,0.0669059,0,1
-3.6017824330427e-05,1.04,0.0669059,0,1.04
-3.8644392487167e-05,1.08,0.0669059,0,1.08
-4.1347917639455e-05,1.12,0.0669059,0,1.12
-4.4126848467889e-05,1.16,0.0669059,0,1.16
-4.6979633791746e-05,1.2,0.0669059,0,1.2
-4.9906110721546e-05,1.24,0.0669059,0,1.24
-5.2903282701686e-05,1.28,0.0669059,0,1.28
-5.5969601017486e-05,1.32,0.0669059,0,1.32
-5.910350547381e-05,1.36,0.0669059,0,1.36
-6.2303347085798e-05,1.4,0.0669059,0,1.4
-6.5568910222158e-05,1.44,0.0669059,0,1.44
-6.8900426008854e-05,1.48,0.0669059,0,1.48
-7.2288955886476e-05,1.52,0.0669059,0,1.52
-7.568570052497e-05,1.56,0.0669059,0,1.56
-7.9001809922208e-05,1.6,0.0669059,0,1.6
-8.213258370806e-05,1.64,0.0669059,0,1.64
-8.4983407017809e-05,1.68,0.0669059,0,1.68
-8.7458067605689e-05,1.72,0.0669059,0,1.72
-8.9460252015701e-05,1.76,0.0669059,0,1.76
-9.0893623176024e-05,1.8,0.0669059,0,1.8
-9.1646971644611e-05,1.84,0.0669059,0,1.84
-9.1635229676163e-05,1.88,0.0669059,0,1.88
-9.0762024625928e-05,1.92,0.0669059,0,1.92
-8.8930970556118e-05,1.96,0.0669059,0,1.96
-8.6045669527726e-05,2,0.0669059,0,2
-8.1985328357592e-05,2.04,0.0669059,0,2.04
-7.6674334372428e-05,2.08,0.0669059,0,2.08
-7.0016251277069e-05,2.12,0.0669059,0,2.12
-6.1914630236453e-05,2.16,0.0669059,0,2.16
-5.227300972629e-05,2.2,0.0669059,0,2.2
-4.0961006538043e-05,2.24,0.0669059,0,2.24
-2.7912469282212e-05,2.28,0.0669059,0,2.28
-1.3030896465718e-05,2.32,0.0669059,0,2.32
3.7802156214894e-06,2.36,0.0669059,0,2.36
2.2617293690066e-05,2.4,0.0669059,0,2.4
4.3620416331938e-05,2.44,0.0669059,0,2.44
6.6849302111973e-05,2.48,0.0669059,0,2.48
9.239282773576e-05,2.52,0.0669059,0,2.52
0.00012029921659968,2.56,0.0669059,0,2.56
0.00015057745215968,2.6,0.0669059,0,2.6
0.00018327252851915,2.64,0.0669059,0,2.64
0.00021833943849249,2.68,0.0669059,0,2.68
0.00025577983053432,2.72,0.0669059,0,2.72
0.0002955952545748,2.76,0.0669059,0,2.76
0.00033778723605215,2.8,0.0669059,0,2.8
0.0003824038850176,2.84,0.0669059,0,2.84
0.00042939962285757,2.88,0.0669059,0,2.88
0.00047877647180905,2.92,0.0669059,0,2.92
0.00053054158264438,2.96,0.0669059,0,2.96
0.00058469985049948,3,0.0669059,0,3
0.00064128265667625,3.04,0.0669059,0,3.04
0.00070026352697192,3.08,0.0669059,0,3.08
0.00076164249209953,3.12,0.0669059,0,3.12
0.00082540902353214,3.16,0.0669059,0,3.16
0.0008915622107967,3.2,0.0669059,0,3.2
0.00096014942903474,3.24,0.0669059,0,3.24
0.0010311240609582,3.28,0.0669059,0,3.28
0.0011044862699224,3.32,0.0669059,0,3.32
0.0011802361918215,3.36,0.0669059,0,3.36
0.0012583739130721,3.4,0.0669059,0,3.4
0.0013389463007942,3.44,0.0669059,0,3.44
0.0014219065522584,3.48,0.0669059,0,3.48
0.0015072546701555,3.52,0.0669059,0,3.52
0.0015949906522246,3.56,0.0669059,0,3.56
0.0016851144930458,3.6,0.0669059,0,3.6
0.001777673008435,3.64,0.0669059,0,3.64
0.0018726193749799,3.68,0.0669059,0,3.68
0.0019699535902836,3.72,0.0669059,0,3.72
0.0020696756543857,3.76,0.0669059,0,3.76
0.0021717855603403,3.8,0.0669059,0,3.8
0.002276330097755,3.84,0.0669059,0,3.84
0.0023832626465301,3.88,0.0669059,0,3.88
0.0024925841925893,3.92,0.0669059,0,3.92
0.0026042887495525,3.96,0.0669059,0,3.96
0.002718361567707,4,0.0669059,0,4
