disp_x,disp_y,id,x,y,z
0,0,33,0.066451905,0.038366025239913,0
0,0,135,0.066451905,-0.038366025239913,0
0,0,165,0.066451905,0.028774518929935,0
0,0,169,0.066451905,0.019183012619957,0
0,0,173,0.066451905,0.0095915063099784,0
0,0,177,0.066451905,3.4694469519536e-18,0
0,0,181,0.066451905,-0.0095915063099784,0
0,0,185,0.066451905,-0.019183012619957,0
0,0,189,0.066451905,-0.028774518929935,0
-1.4925613615298e-14,-6.7676095507859e-15,35,0.066451905,0.038366025239913,0.01
-8.5181279835227e-15,3.6201456806097e-14,139,0.066451905,-0.038366025239913,0.01
-1.7052180913352e-14,1.8034887893372e-15,167,0.066451905,0.028774518929935,0.01
-9.4478049033002e-15,-2.3884692511731e-14,171,0.066451905,0.019183012619957,0.01
-1.1289235751182e-14,-5.3884790923353e-15,175,0.066451905,0.0095915063099784,0.01
-4.8844236765161e-15,9.6162378721961e-15,179,0.066451905,3.4694469519536e-18,0.01
-1.4336545672998e-14,-1.6459890269665e-14,183,0.066451905,-0.0095915063099784,0.01
-1.3116193371205e-14,1.1840209153848e-14,187,0.066451905,-0.019183012619957,0.01
-1.4811894766801e-14,6.9778759232345e-15,191,0.066451905,-0.028774518929935,0.01
-2.8982076062507e-14,3.7657506925869e-16,209,0.066451905,0.038366025239913,0.02
-1.4581275931332e-14,-4.0564164397258e-15,261,0.066451905,-0.038366025239913,0.02
-1.8819580351818e-14,-1.9800761671635e-14,275,0.066451905,0.028774518929935,0.02
-2.4546926008731e-14,-2.5413266164362e-14,277,0.066451905,0.019183012619957,0.02
-2.5400089308319e-14,-9.4777213512837e-15,279,0.066451905,0.0095915063099784,0.02
-1.7813076405117e-14,-1.6415092102582e-14,281,0.066451905,3.4694469519536e-18,0.02
-3.2292525561956e-14,1.3107218480926e-15,283,0.066451905,-0.0095915063099784,0.02
-2.1900390922871e-14,4.0923373087392e-14,285,0.066451905,-0.019183012619957,0.02
-1.1556690035646e-14,1.1649627810863e-14,287,0.066451905,-0.028774518929935,0.02
-4.7812498170111e-14,-1.9541742288957e-14,305,0.066451905,0.038366025239913,0.03
-1.8962933051174e-14,-7.1971047873815e-15,357,0.066451905,-0.038366025239913,0.03
-3.5321454073366e-14,-3.9067037764277e-14,371,0.066451905,0.028774518929935,0.03
-4.5396552242573e-14,-1.3456622077703e-14,373,0.066451905,0.019183012619957,0.03
-4.0583741403522e-14,1.7192782977604e-14,375,0.066451905,0.0095915063099784,0.03
-4.1798913686735e-14,-2.0967743919339e-14,377,0.066451905,3.4694469519536e-18,0.03
-4.2113193603916e-14,2.6795220831856e-14,379,0.066451905,-0.0095915063099784,0.03
-2.5491027341667e-14,8.3776150387662e-15,381,0.066451905,-0.019183012619957,0.03
-1.079633279932e-14,7.3716427679808e-15,383,0.066451905,-0.028774518929935,0.03
-2.2710130816847e-14,-3.6713045438779e-14,401,0.066451905,0.038366025239913,0.04
-8.4637940665369e-15,-1.2664987966347e-14,453,0.066451905,-0.038366025239913,0.04
-4.2614529394924e-14,-4.5799947269635e-14,467,0.066451905,0.028774518929935,0.04
-4.9603467120188e-14,2.583232195128e-16,469,0.066451905,0.019183012619957,0.04
-5.5315077093712e-14,-1.4849026621912e-15,471,0.066451905,0.0095915063099784,0.04
-5.8074622363877e-14,-3.2139046243247e-15,473,0.066451905,3.4694469519536e-18,0.04
-4.775349827511e-14,1.8647778750394e-14,475,0.066451905,-0.0095915063099784,0.04
-3.2437308782054e-14,9.7460210017835e-15,477,0.066451905,-0.019183012619957,0.04
-8.8099728141985e-15,-2.6249398796438e-15,479,0.066451905,-0.028774518929935,0.04
-3.5981220300848e-14,-5.1916570600777e-14,497,0.066451905,0.038366025239913,0.05
5.3332373734832e-15,-2.0988535076712e-14,549,0.066451905,-0.038366025239913,0.05
-3.831588123084e-14,-2.5042510580923e-14,563,0.066451905,0.028774518929935,0.05
-4.2810197522627e-14,-1.0593228536828e-14,565,0.066451905,0.019183012619957,0.05
-4.7799222443929e-14,-1.1043353885957e-14,567,0.066451905,0.0095915063099784,0.05
-5.3405316378172e-14,-8.15979188338e-15,569,0.066451905,3.4694469519536e-18,0.05
-5.5590550107844e-14,8.3867245072009e-15,571,0.066451905,-0.0095915063099784,0.05
-4.7048167833464e-14,-3.1063261094648e-15,573,0.066451905,-0.019183012619957,0.05
-3.3144594922208e-14,-9.8268155568362e-15,575,0.066451905,-0.028774518929935,0.05
-2.7488219266293e-16,-2.316894519978e-14,593,0.066451905,0.038366025239913,0.06
-2.222174824e-14,-2.6848355766648e-14,645,0.066451905,-0.038366025239913,0.06
-7.3139975598905e-15,-4.0301707041282e-14,659,0.066451905,0.028774518929935,0.06
-2.4666226137152e-14,-1.9426901142381e-14,661,0.066451905,0.019183012619957,0.06
-3.3327126748976e-14,-1.5887213235712e-14,663,0.066451905,0.0095915063099784,0.06
-4.8527302781804e-14,-9.4355806813574e-16,665,0.066451905,3.4694469519536e-18,0.06
-5.37834269563e-14,-2.1604384191828e-14,667,0.066451905,-0.0095915063099784,0.06
-6.8994652809344e-14,7.2494475744953e-15,669,0.066451905,-0.019183012619957,0.06
-3.9810533212682e-14,-2.0246633803638e-14,671,0.066451905,-0.028774518929935,0.06
4.8756428208392e-14,-4.6357999378833e-14,689,0.066451905,0.038366025239913,0.07
-3.6677563460488e-14,-3.3033827657209e-14,741,0.066451905,-0.038366025239913,0.07
1.5927927272825e-14,-3.1418876164468e-14,755,0.066451905,0.028774518929935,0.07
-1.862401619971e-15,-3.7767949967604e-14,757,0.066451905,0.019183012619957,0.07
-2.1323393984379e-14,-2.0291204176878e-14,759,0.066451905,0.0095915063099784,0.07
-3.1813208191512e-14,-3.7428170448807e-14,761,0.066451905,3.4694469519536e-18,0.07
