z,T,PD,T_const,T_linear,T_K
0,627.11,7.30E+05,6.27E+02,627.11,900.26
0.001271,627.1277,7.32E+05,6.27E+02,627.1497488,900.2777
0.002542,627.145,7.33E+05,6.27E+02,627.1894977,900.295
0.003813,627.1619,7.34E+05,6.27E+02,627.2292465,900.3119
0.005084,627.1783,7.35E+05,6.27E+02,627.2689953,900.3283
0.006355,627.1943,7.35E+05,6.27E+02,627.3087442,900.3443
0.007626,627.2099,7.36E+05,6.27E+02,627.348493,900.3599
0.008897,627.2251,7.36E+05,6.27E+02,627.3882418,900.3751
0.010168,627.2399,7.35E+05,6.27E+02,627.4279906,900.3899
0.011439,627.2543,7.35E+05,6.27E+02,627.4677395,900.4043
0.01271,627.2685,7.34E+05,6.27E+02,627.5074883,900.4185
0.013981,627.2823,7.34E+05,6.27E+02,627.5472371,900.4323
0.015252,627.2958,7.33E+05,6.27E+02,627.586986,900.4458
0.016523,627.3089,7.31E+05,6.27E+02,627.6267348,900.4589
0.017794,627.3218,7.30E+05,6.27E+02,627.6664836,900.4718
0.019065,627.3345,7.29E+05,6.27E+02,627.7062325,900.4845
0.020336,627.3469,7.27E+05,6.27E+02,627.7459813,900.4969
0.021606,627.359,7.25E+05,6.27E+02,627.7856989,900.509
0.022877,627.3709,7.23E+05,6.27E+02,627.8254477,900.5209
0.024148,627.3826,7.21E+05,6.27E+02,627.8651965,900.5326
0.025419,627.3941,7.19E+05,6.27E+02,627.9049453,900.5441
0.02669,627.4055,7.16E+05,6.27E+02,627.9446942,900.5555
0.027961,627.4166,7.14E+05,6.27E+02,627.984443,900.5666
0.029232,627.4276,7.12E+05,6.27E+02,628.0241918,900.5776
0.030503,627.4385,7.09E+05,6.27E+02,628.0639407,900.5885
0.031774,627.4493,7.06E+05,6.27E+02,628.1036895,900.5993
0.033045,627.4599,7.04E+05,6.27E+02,628.1434383,900.6099
0.034316,627.4705,7.01E+05,6.27E+02,628.1831872,900.6205
0.035587,627.481,6.98E+05,6.27E+02,628.222936,900.631
0.036858,627.4914,6.95E+05,6.27E+02,628.2626848,900.6414
0.038129,627.5018,6.92E+05,6.27E+02,628.3024337,900.6518
0.0394,627.5122,6.89E+05,6.27E+02,628.3421825,900.6622
0.040671,627.5225,6.86E+05,6.27E+02,628.3819313,900.6725
0.041942,627.5328,6.83E+05,6.27E+02,628.4216801,900.6828
0.043213,627.5432,6.80E+05,6.27E+02,628.461429,900.6932
0.044484,627.5536,6.77E+05,6.27E+02,628.5011778,900.7036
0.045755,627.564,6.74E+05,6.27E+02,628.5409266,900.714
0.047026,627.5745,6.71E+05,6.27E+02,628.5806755,900.7245
0.048297,627.585,6.69E+05,6.27E+02,628.6204243,900.735
0.049568,627.5956,6.66E+05,6.27E+02,628.6601731,900.7456
0.050839,627.6064,6.63E+05,6.27E+02,628.699922,900.7564
0.05211,627.6172,6.60E+05,6.27E+02,628.7396708,900.7672
0.053381,627.6282,6.58E+05,6.27E+02,628.7794196,900.7782
0.054652,627.6394,6.55E+05,6.27E+02,628.8191685,900.7894
0.055923,627.6507,6.53E+05,6.27E+02,628.8589173,900.8007
0.057194,627.6622,6.51E+05,6.27E+02,628.8986661,900.8122
0.058465,627.6738,6.48E+05,6.27E+02,628.9384149,900.8238
0.059736,627.6857,6.46E+05,6.27E+02,628.9781638,900.8357
0.061007,627.6978,6.44E+05,6.27E+02,629.0179126,900.8478
0.062278,627.7101,6.42E+05,6.27E+02,629.0576614,900.8601
0.063549,627.7227,6.41E+05,6.27E+02,629.0974103,900.8727
0.064819,627.7356,6.39E+05,6.27E+02,629.1371278,900.8856
0.06609,627.7487,6.38E+05,6.27E+02,629.1768767,900.8987
0.067361,627.7621,6.37E+05,6.27E+02,629.2166255,900.9121
0.068632,627.7758,6.36E+05,6.27E+02,629.2563743,900.9258
0.069903,627.7899,6.35E+05,6.27E+02,629.2961232,900.9399
0.071174,627.8043,6.34E+05,6.27E+02,629.335872,900.9543
0.072445,627.8191,6.34E+05,6.27E+02,629.3756208,900.9691
0.073716,627.8342,6.34E+05,6.27E+02,629.4153696,900.9842
0.074987,627.8497,6.34E+05,6.27E+02,629.4551185,900.9997
0.076258,627.8656,6.34E+05,6.27E+02,629.4948673,901.0156
0.077529,627.8819,6.35E+05,6.27E+02,629.5346161,901.0319
0.0788,627.8987,6.35E+05,6.27E+02,629.574365,901.0487
0.080071,627.9159,6.36E+05,6.27E+02,629.6141138,901.0659
0.081342,627.9336,6.38E+05,6.27E+02,629.6538626,901.0836
0.082613,627.9517,6.39E+05,6.27E+02,629.6936115,901.1017
0.083884,627.9703,6.41E+05,6.27E+02,629.7333603,901.1203
0.085155,627.9894,6.43E+05,6.27E+02,629.7731091,901.1394
0.086426,628.009,6.46E+05,6.27E+02,629.812858,901.159
0.087697,628.029,6.48E+05,6.27E+02,629.8526068,901.179
0.088968,628.0494,6.51E+05,6.27E+02,629.8923556,901.1994
0.090239,628.0702,6.55E+05,6.27E+02,629.9321044,901.2202
0.09151,628.0914,6.58E+05,6.27E+02,629.9718533,901.2414
0.092781,628.1129,6.62E+05,6.27E+02,630.0116021,901.2629
0.094052,628.1347,6.65E+05,6.27E+02,630.0513509,901.2847
0.095323,628.1568,6.69E+05,6.27E+02,630.0910998,901.3068
0.096594,628.1793,6.74E+05,6.27E+02,630.1308486,901.3293
0.097865,628.2019,6.78E+05,6.27E+02,630.1705974,901.3519
0.099136,628.2248,6.83E+05,6.27E+02,630.2103463,901.3748
0.100407,628.2479,6.88E+05,6.27E+02,630.2500951,901.3979
0.101678,628.2712,6.92E+05,6.27E+02,630.2898439,901.4212
0.102949,628.2947,6.97E+05,6.27E+02,630.3295928,901.4447
0.10422,628.3183,7.03E+05,6.27E+02,630.3693416,901.4683
0.105491,628.342,7.08E+05,6.27E+02,630.4090904,901.492
0.106761,628.3658,7.13E+05,6.27E+02,630.448808,901.5158
0.108032,628.3897,7.19E+05,6.27E+02,630.4885568,901.5397
0.109303,628.4136,7.24E+05,6.27E+02,630.5283056,901.5636
0.110574,628.4375,7.30E+05,6.27E+02,630.5680545,901.5875
0.111845,628.4615,7.36E+05,6.27E+02,630.6078033,901.6115
