Time(s) Power(W)
 0.0 38.95171392370452
 5473.0 1546.5468618091645
 10946.0 2633.1033003301427
 16419.0 3436.305083408887
 21892.0 4717.470185811637
 27365.0 4934.379461274029
 32838.0 5519.33889380074
 38311.0 5808.314277702071
 43784.0 6554.785213786965
 49257.0 7144.6155144422555
 54730.0 7481.164743352947
 60203.0 7853.446253720577
 65676.0 8784.156512646965
 71149.0 8967.758511982862
 76622.0 9863.154676281385
 82095.0 10390.16720980923
 87568.0 10505.660394596207
 93041.0 11130.362119876585
 98514.0 11216.747860632604
 103987.0 11744.689117926733
 109460.0 12719.426297800166
 114933.0 12365.043533686945
 120406.0 12881.726582367366
 125879.0 14758.867585095551
 131352.0 16392.090691901343
 136825.0 13832.745512163006
 142298.0 13814.63346763328
 147771.0 11736.462415265332
 153244.0 14613.347611371866
 158717.0 16994.84487202746
 164190.0 17851.130677757337
 169663.0 17934.09372148458
 175136.0 18063.789416974294
 180291.0 18541.642515756103
 180296.5 19929.381174101316
 180297.5 20485.662526420943
 180333.0 22392.420985000925
 180334.0 23207.345247547015
 180342.0 24783.48919023709
 180343.0 25775.289726553245
 180385.0 28418.370558358736
 180385.5 29959.821619316437
 180386.0 29680.98200888966
 180392.5 30772.981563183384
 180393.5 31576.70081645846
 180403.5 31733.31142299565
 180510.5 31642.58247488858
 180516.5 32033.987710939444
 180530.0 31906.03646783487
 180609.0 31378.146173772275
 180906.5 31665.829937315848
 180917.0 31746.52856816783
 180961.5 31042.707904574792
 180963.0 30887.770527249057
 180963.5 30828.235110322432
 180967.0 30977.811067521645
 180967.5 30819.837937055978
 180989.0 30294.10618439803
 181019.5 30643.185000472262
 181041.5 30681.69385958317
 181184.0 30509.84595813567
 181351.5 30737.03337173253
 181481.5 30886.90993935335
 181482.0 30999.73573559834
 181483.0 30721.430717539064
 181484.0 30665.208277516285
 181522.5 30697.072098929362
 181798.0 30570.76358629287
 181799.0 30530.168885693733
 181819.0 30494.926579190196
 181819.5 30597.0758444775
 181839.0 30719.413586019065
 181841.0 30391.919092677013
 181863.5 30357.91382772627
 181869.5 30602.756557593268
 181870.0 30344.893412610425
 181874.0 30524.645602599896
 181874.5 30697.44451082046
 181891.5 30470.918089831706
 181978.0 30744.64643961549
 181979.0 30682.878438523854
 181998.0 30562.861669487622
 186082.0 30221.256235216784
 191555.0 29370.767401516237
 197028.0 29424.944330422488
 202501.0 27831.062125284447
 207974.0 22948.119499046163
 213447.0 34.431305006142956
 218920.0 35.41152749300977
 224393.0 34.962244312688284
 229866.0 35.939323169390526
 235339.0 35.42279273398011
 240812.0 35.37304733376399
 246285.0 35.47220404427705
 251758.0 36.47030878123229
 257231.0 36.403443191942586
 262704.5 36.445108620230826
