Time(s) Temp(K)
0.0 300.8549666666672
 5710.5 301.47077777778037
 11421.5 302.1100555555584
 17132.5 302.4754222222234
 22843.5 302.82489444444684
 28554.5 303.1864611111153
 34265.5 303.3974111111124
 39976.5 303.5588388888917
 45687.5 303.7421777777794
 51398.5 303.91887777777976
 57109.5 304.0501277777806
 62820.5 304.1774277777793
 68531.5 304.3009555555579
 74242.5 304.60530555555755
 79953.5 305.2785611111132
 85664.5 305.83618888889185
 91375.0 306.26255555555827
 97086.0 308.0615166666699
 102797.0 309.22837777777954
 108508.0 310.1622055555566
 114219.0 311.04309444444783
 119930.0 310.68292222222453
 125641.0 309.21155555555794
 129306.0 308.43021111111216
 129306.5 308.42378888889
 130206.0 306.11177777778016
 130206.5 306.1178500000023
 131352.0 301.8472500000019
 137063.0 307.400811111114
 139185.0 307.5127833333357
 139583.5 307.35752777778055
 139584.0 307.3563055555583
 140483.5 307.0461388888901
 140484.0 307.0459944444456
 142035.0 306.54843888889087
 142774.0 306.2737222222241
 143404.5 307.1470444444472
 144304.5 306.89441111111404
 145915.0 307.6781222222242
 146815.0 307.3281777777799
 148485.0 307.8096222222252
 154196.0 308.2706611111131
 156631.0 308.8722055555592
 157531.0 308.23266111111263
 159345.0 308.39756666666995
 159907.0 308.32408333333666
 160245.0 308.0932000000029
 165618.0 310.17990555555787
 171329.0 310.63203888889063
 177039.5 309.2678333333361
 182750.5 312.76690000000224
 188461.5 313.58749444444663
 194172.5 313.8406055555591
 199883.5 314.0668500000038
 205594.5 314.41703333333646
 211305.5 313.6510000000019
 217016.5 313.9720500000017
 220338.0 311.80288333333664
 221238.0 310.3666888888899
 222727.5 310.7697388888916
 225523.0 313.14141111111405
 225991.0 313.4167444444466
 226044.0 313.38782777778016
 226891.0 308.83263888889127
 226944.0 308.44901666666965
 228438.5 309.6824222222232
 230912.0 312.67916111111197
 231812.0 311.00185000000107
 233720.0 312.1662944444475
 234149.5 312.5793222222254
 234620.0 310.8895111111135
 236861.5 312.88438888889095
 237761.5 311.6514611111141
 239860.5 313.0630277777805
 240068.5 313.27839444444714
 240069.0 313.27190555555825
 240069.5 313.269083333336
 240968.5 311.10656666667023
 240969.0 311.10996111111467
 240969.5 311.10981666667027
 242840.5 312.38730555555753
 243740.5 311.87233333333626
 243778.0 311.7487444444476
 243779.0 311.73891666666987
 244678.0 309.5069222222241
 244679.0 309.50917777777966
 245571.5 309.61951666666823
 247933.5 313.5672166666697
 247989.0 313.6195555555583
 248833.5 312.79603333333637
 248889.0 312.58325555555854
 251282.5 313.66547222222493
 256993.5 312.72640000000416
 259744.5 312.89318333333495
 260644.5 312.42601111111395
 262704.5 311.82203333333575
