Time(s) Pressure(Pa)
     0.0 212800.0
  5710.5 208100.0
 11421.5 208400.0
 17132.5 212400.0
 22843.5 202400.0
 28554.5 204000.0
 34265.5 207100.0
 35637.0 204400.0
 35637.5 203800.0
 36364.0 201900.0
 36364.5 202600.0
 39562.5 204300.0
 39976.5 203300.0
 41787.5 208400.0
 42926.0 206300.0
 45687.5 209000.0
 49520.0 200100.0
 51398.5 205900.0
 52946.5 202200.0
 57109.5 203800.0
 62820.5 200500.0
 68531.5 203300.0
 74242.5 205900.0
 77436.5 332100.0
 77437.0 305400.0
 77437.5 280200.0
 77438.0 260399.99999999997
 77438.5 244800.0
 77439.0 233400.0
 77439.5 225800.0
 77440.0 221200.0
 77440.5 218500.0
 77441.0 218600.0
 79953.5 216800.0
 84612.5 201500.0
 84613.0 201100.0
 85460.5 199600.0
 85664.5 198800.0
 86926.0 197100.0
 91375.0 199800.0
 95912.0 202300.0
 97086.0 210200.0
 102797.0 201300.0
 108508.0 202400.0
 111228.5 210000.0
 114219.0 206000.0
 119930.0 209700.0
 123109.0 205800.0
 124384.0 205600.0
 125641.0 203600.0
 131352.0 204900.0
 137063.0 200200.0
 137656.5 199200.0
 139357.0 199000.0
 139390.5 204700.0
 142774.0 201500.0
 143188.5 200900.0
 145647.5 205500.0
 145852.0 205000.0
 148485.0 202500.0
 149176.5 201900.0
 154196.0 202900.0
 159907.0 204800.0
 160618.0 204400.0
 165618.0 206000.0
 166359.0 205100.0
 167619.0 204900.0
 171185.0 202700.0
 171329.0 202900.0
 174067.0 201700.0
 177039.5 208700.0
 179950.0 207200.0
 180100.0 114300.0
 180300.0 107300.0
 182750.5 109500.0
 188461.5 116300.0
 194172.5 125600.0
 197480.0 132300.0
 199883.5 137100.0
 204524.0 147000.0
 205594.5 149100.0
 211305.5 160400.0
 216447.5 168800.0
 217016.5 170000.0
 219201.5 173100.0
 222727.5 176200.0
 228438.5 178800.0
 231528.5 179900.0
 234149.5 179800.0
 239860.5 179200.0
 245571.5 173800.0
 248780.0 172800.0
 251282.5 171300.0
 253938.5 170600.0
 254944.5 169900.0
 256646.0 169600.0
 256993.5 169100.0
 261998.0 166600.0
 262704.5 166900.0
