Time(s) Temp(K)
0.0 298.9450555555565
900.0 298.94652222222317
900.5 298.9450555555565
5710.5 304.525727777778
11421.5 308.0850722222237
17132.5 319.29649444444476
22843.5 322.7619722222232
28554.5 323.6673999999981
34265.5 325.0533555555548
39976.5 326.7179499999996
45687.5 326.58634444444533
51398.5 327.9108555555562
57109.5 328.3943777777768
62820.5 329.89786666666623
68531.5 329.7497166666654
74242.5 332.38487777777897
79953.5 343.20318888888977
85664.5 342.63161111111106
91375.0 346.60245000000117
97086.0 352.470311111111
102797.0 360.37947777777765
108508.0 367.7213222222225
114219.0 375.90168888889133
119930.0 364.5541222222224
125641.0 366.36373888888915
127890.5 362.8374944444472
127892.5 362.7970833333361
127893.5 362.77127777778054
127894.0 362.7561444444472
127898.5 362.58721111111396
127902.5 362.3762222222252
127904.0 362.2801833333363
127904.5 362.24552777778075
127905.0 362.2094777777807
127906.0 362.13409444444744
127906.5 362.09448333333626
127907.0 362.0536777777807
127907.5 362.01144444444736
127908.0 361.9676833333362
127908.5 361.9228388888917
127909.0 361.8765888888917
127910.0 361.7809500000028
127910.5 361.73145555555834
127912.0 361.57770000000284
127916.5 361.0642833333362
127921.5 360.41277222222504
128790.5 209.1940500000019
128792.5 208.89627222222413
128793.5 208.7530833333352
128794.0 208.6837222222241
128802.0 207.68279444444636
128802.5 207.62843333333527
128804.0 207.4716388888908
128804.5 207.42202777777968
128805.0 207.3738888888908
128805.5 207.32681666666855
128806.0 207.28085555555745
128806.5 207.2362833333352
128807.0 207.192961111113
128807.5 207.1509944444463
128808.0 207.11055000000187
128808.5 207.07127777777964
128809.0 207.03333333333518
128810.0 206.96065000000186
128812.0 206.82720000000188
128813.5 206.7378777777797
128818.5 206.49876666666856
128821.5 206.3962055555575
129157.0 211.54165000000154
129157.5 211.55732222222377
130057.0 284.60862222222323
130057.5 284.6624333333343
131352.0 355.15668888888905
137063.0 362.55315555555586
142774.0 362.8396222222231
148485.0 362.76997222222224
154196.0 362.32792777777496
159907.0 362.4232277777779
165618.0 363.34148888888814
171329.0 363.8595888888896
177039.5 364.4246888888887
182750.5 355.21215
188461.5 345.9282000000006
194172.5 339.355444444443
199883.5 333.6518555555564
205594.5 329.42707777777656
211305.5 325.92328888888704
217016.5 323.0045999999999
222727.5 320.43680000000006
228438.5 318.2167333333324
234149.5 316.3293944444431
239860.5 314.64921111111096
245571.5 313.2440222222212
251282.5 311.9599666666659
256993.5 310.49776111110975
262704.5 309.442138888887
