time,fuel_temp_avg,fuel_temp_max,fuel_temp_min,integrated_power,mod_temp_avg,mod_temp_max,mod_temp_min,power_scaling,scaled_power_avg
0,842.40738936222,862.25002279184,820.18616161229,345600,841.22741467945,859.26280466756,821.80204413355,1.277408863022e+15,2182696.3624031
1,842.40739173205,862.25001865241,820.18613790681,345598.50531083,841.22742226283,859.26279101408,821.80202354287,1.277408863022e+15,2182686.9224361
2,842.40740229059,862.2500072054,820.18608631869,345598.10613316,841.2274442512,859.26275063542,821.80196324273,1.277408863022e+15,2182684.4013607
3,842.40742023811,862.24998141179,820.18600868981,345597.75164349,841.22748225152,859.26267899651,821.80186806227,1.277408863022e+15,2182682.1625201
4,842.40744376417,862.24993788167,820.1859112686,345597.40238706,841.2275350127,859.26257856521,821.80174951319,1.277408863022e+15,2182679.9567309
5,842.4074710639,862.24987658407,820.18580075289,345597.05190209,841.22760016071,859.26245516308,821.80161843946,1.277408863022e+15,2182677.7431827
