time,fuel_cP,fuel_k,fuel_temp_avg,fuel_temp_max,fuel_temp_min,heatpipe_surface_temp_avg,hp_heat_integral,mod_temp_avg,mod_temp_max,mod_temp_min,monolith_cP,monolith_k,monolith_temp_avg,monolith_temp_max,monolith_temp_min,power
0,1196.3724244271,35.304003549538,841.0243548745,862.53560829924,814.00277938412,834.58694258393,332923.60855346,840.3853597195,859.91542905795,814.26854162907,1494.530774056,69.258173593745,838.71574760958,861.38157746767,812.45732901426,345600
1,1196.3724228023,35.304004049716,841.02436316294,862.5355959617,814.00269348251,834.58693326839,332923.36061506,840.38537327598,859.91541087711,814.26845785791,1494.5307736146,69.25820057186,838.71573470182,861.38158069932,812.4569954492,345599.24915594
1,1196.3724226616,35.304004065751,841.02436258813,862.53559491558,814.00269317172,834.58693308908,332923.35731107,840.38537320937,859.91541071374,814.26845777922,1494.5307734877,69.258200572751,838.71573446808,861.38158007792,812.45699543721,345598.87348362
1,1196.3724225963,35.304004074605,841.02436231307,862.53559442321,814.0026930003,834.5869330031,332923.35574778,840.38537317758,859.91541063695,814.26845773581,1494.5307734289,69.258200573243,838.71573435621,861.38157978629,812.45699543058,345598.69411909
1,1196.372422564,35.304004079624,841.02436217224,862.53559417645,814.00269290314,834.586932959,332923.35495451,840.38537316132,859.91541059847,814.26845771118,1494.5307733998,69.258200573521,838.71573429893,861.38157964013,812.45699542682,345598.60244802
1,1196.372422548,35.304004082482,841.02436209996,862.53559405287,814.00269284781,834.58693293632,332923.35455149,840.38537315299,859.9154105792,814.26845769714,1494.5307733854,69.25820057368,838.71573426954,861.38157956693,812.45699542467,345598.55549448
1,1196.3724225401,35.304004084117,841.02436206267,862.53559399085,814.00269281614,834.5869329246,332923.35434586,840.38537314869,859.91541056953,814.2684576891,1494.5307733783,69.258200573771,838.71573425437,861.38157953019,812.45699542344,345598.53131925
1,1196.3724225362,35.304004085056,841.02436204334,862.53559395969,814.00269279794,834.5869329185,332923.35424061,840.38537314647,859.91541056467,814.26845768447,1494.5307733748,69.258200573823,838.71573424651,861.38157951174,812.45699542273,345598.5188191
1,1196.3724225343,35.304004085597,841.02436203328,862.53559394404,814.00269278744,834.58693291532,332923.3541866,840.38537314532,859.91541056223,814.2684576818,1494.5307733731,69.258200573853,838.71573424242,861.38157950247,812.45699542233,345598.51233133
1,1196.3724225334,35.30400408591,841.02436202802,862.53559393619,814.00269278137,834.58693291366,332923.35415882,840.38537314472,859.91541056101,814.26845768025,1494.5307733723,69.25820057387,838.71573424028,861.38157949782,812.45699542209,345598.50895218
