time,Eq_TREAT_Power,IntegratedPower,ScaledTotalPower,avg_coretemp,avg_fg_temp,avg_ms_temp,avg_powerden,avg_refltemp,delta_time,der1PD_ratio,der1_avgPD,lin_steps,max_tempfg,max_tempms,nl_steps,peak_avgPD,peak_der1avgPD,powden_ratio
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,130939.26230102,72.168519469411,16367.407512535,300.00019682825,300.00142807457,300.0001499619,0.053014835317281,300.00000084347,0.005,1,2.5053446413962,68,300.00216955567,300.00022782472,4,0.053014835317281,2.5053446413962,1
0.01,167493.90619272,165.42888393641,20936.736464466,300.00045360999,300.00187438021,300.00019682825,0.067815120517797,300.00000191475,0.005,1,2.9600572183998,69,300.00291849165,300.00030647006,4,0.067815120517797,2.9600572183998,1
