time,Eq_TREAT_Power,IntegratedPower,PowerScaling,ScaledTotalPower,UnscaledTotalPower,avg_coretemp,avg_powerden,avg_refltemp,delta_time,lin_steps,nl_steps,Executioner/eigenvalue
0,0,0,4.4403620150181e+16,12500.000000001,2.8150857875378e-13,299.99999999997,0,299.99999999996,0,0,0,1
1,99999.999999158,12500,2.7690731671861e+16,12500,4.514145797275e-13,299.99999999997,0.040488112110297,299.99999999996,1,5,1,1.2789431032739
2,99999.999999158,25000,2.7662130343211e+16,12500,4.5188132095791e-13,299.99999999997,0.040488112110297,299.99999999996,1,25,3,1.2799538782943
